model,pathway,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Conventional|Oil PPT,GWh/year,801,0,81,41,28,0,0
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Conventional|Coal gas,GWh/year,73,0,0,0,0,0,0
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Gaseous fuel|Hydrogen|Domestic|Electrolysis,GWh/year,0,0,0,0,0,0,0
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Efficiency|Gaseous fuel|Hydrogen|Domestic|Electrolysis,%,61,63,66,68,70,73,75
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Nuclear|Boiling water reactor,GWh/year,41459,14151,12687,13522,0,6901,41863
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Import,GWh/year,3577,17503,5662,3051,9819,8270,9826
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Run-of-river hydro,GWh/year,72,91,91,91,91,91,91
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Reservoir,GWh/year,230,287,287,28711,287,287,287
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Renewable|Photovoltaic|570kWp open ground,GWh/year,1479,5536,5328,8100,7850,7784,9640
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Renewable|Photovoltaic|3kWp single-Si,GWh/year,2958,11072,10657,16200,15699,0,19281
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Renewable|Photovoltaic|3kWp multi-Si,GWh/year,1479,5536,5328,8100,7850,7784,9640
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Renewable|Wind turbines|Offshore,GWh/year,8015,16097,35118,54608,84787,99544,112220
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Renewable|Wind turbines|Onshore|1-3MW,GWh/year,4356,6909,8927,16066,21843,21599,21599
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Renewable|Wind turbines|Onshore|<1MW,GWh/year,100,159,205,369,502,497,497
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Renewable|Wind turbines|Onshore|>3MW,GWh/year,501,794,1026,1847,2511,2483,2483
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Medium to high,GWh/year,1,1,1,1,1,1,1
remind,SSP1-PkBudg500,RUN 32 ELC,BE,Production|Electricity|Low to medium,GWh/year,1,1,1,1,1,1,1
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Biogas,GWh/year,0,0,0,0,0,0,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Biomass,GWh/year,1148,3703,3458,3601,3184,3179,4288
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Bagasse,GWh/year,1917,0,0,0,0,0,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Renewable|Biowaste,GWh/year,15,1036,1492,2178,2843,3520,4227
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Blast-furnace,GWh/year,2265,2179,2197,2192,131,131,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Coal CHP,GWh/year,56,56,18,1,0,0,0
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Oil CHP,GWh/year,51,51,51,50,48,51,53
remind,SSP1-PkBudg500,RUN 32 MOL,BE,Production|Electricity|Conventional|Municipal waste incineration,GWh/year,0,251,10,5,3,1,0
